Date,USPHCI,Boston,New York,Philadelphia,Cleveland,Richmond,Atlanta,Chicago,St. Louis,Minneapolis,Kansas City,Dallas,San Francisco,USPHCI_change
2007-06-01,100.0,0.1267936507936508,0.1708521739130435,0.2020050847457626,0.107384,0.1765923076923076,0.0894631578947368,0.0751782608695652,0.1073519999999999,0.1508397058823529,0.2164571428571429,0.1338732673267327,0.2111380952380952,0
2007-07-01,100.11,0.138535294117647,0.2119767441860465,0.27010625,0.1366,0.1208733333333333,-0.0218303571428571,0.0825788732394366,0.1594948717948718,0.1871484375,0.110550847457627,0.1088827956989247,0.1321292682926829,0
2007-09-01,100.38,0.0577030303030303,0.0417519999999999,0.1477731343283582,0.1195679999999999,0.0857723076923077,0.0221333333333333,0.0387842105263157,0.0778923076923077,0.1531691176470587,0.1597160714285714,0.0967864583333333,0.2758976190476191,0
2007-10-01,100.53,0.1023714285714285,0.0693738095238095,0.129011475409836,0.0742443037974683,0.1507812499999999,0.0093553571428571,0.0813853333333333,0.1943277777777778,0.1501999999999999,0.1366859375,0.108470731707317,0.1844538461538461,0
2007-12-01,100.72,0.1049,0.1763068181818182,0.2401999999999999,0.1259428571428571,0.1650448717948717,0.0587999999999999,0.0757116883116883,0.1389951219512195,0.2064596774193548,0.2242709677419354,0.03666,0.1730195121951219,0
2008-01-01,100.87,0.1238076923076923,0.0797560975609756,0.2267086956521739,0.0647894736842105,0.0886142857142857,0.0706372881355932,0.1021833333333333,0.1163323529411764,0.2194855072463767,0.1021344262295081,0.1625137499999999,0.0964181818181818,0
2008-03-01,101.02,0.0622028571428571,0.0131780487804878,0.059866129032258,0.0934075,0.0329676923076923,0.0308529411764705,0.0925075757575758,0.1455478260869565,0.1524712121212121,0.0950581818181818,0.0544866666666666,-0.0086975,0
2008-05-01,100.99,0.1161426470588235,0.0304326530612244,0.1182704225352112,0.1337987179487178,0.0792567164179104,0.0664732142857142,0.010110294117647,0.1243666666666666,0.1220382352941176,0.0685862068965517,0.0161767123287671,0.0425756097560975,1
2008-06-01,100.94,0.0027367647058823,-0.0078162790697674,0.1133999999999999,0.1197934210526316,0.1221533333333333,-0.0127739999999999,0.026590625,0.0914595744680851,0.1532437499999999,0.1527048387096774,0.0573414634146341,0.0070523809523809,1
2008-07-01,100.88,0.0832671641791044,-0.0150611111111111,0.0535758064516129,0.1063684210526315,0.0295463768115941,-0.0250977777777777,0.0153897058823529,0.1150818181818181,0.1251898550724638,0.0969072727272727,0.0863012658227848,0.0300024390243902,1
